Codigo,Nome,Valor,% Partic,Rateio Nao Detalh,Valor Total,Media Diaria,Qtd Viagens,Vlr Medio Viag
30000,MINISTERIO DA JUSTICA E SEGURANÃ‡A PUBLICA,3202180.31,25.076,203984.64,3406164.95,113538.83,2043,1567.39
26000,MINISTERIO DA EDUCACAO,1563113.03,12.241,99576.33,1662689.36,55422.98,2502,624.75
52000,MINISTERIO DA DEFESA,1556620.12,12.19,99161.46,1655781.58,55192.72,3256,478.08
36000,MINISTERIO DA SAUDE,984504.46,7.71,62718.2,1047222.66,34907.42,574,1715.16
25000,MINISTERIO DA FAZENDA,928828.15,7.274,59171.49,987999.64,32933.32,1314,706.87
22000,"MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO",700643.26,5.487,44634.86,745278.12,24842.6,858,816.6
39000,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",655326.13,5.132,41747.06,697073.19,23235.77,713,919.11
44000,MINISTERIO DO MEIO AMBIENTE,597049.91,4.676,38037.65,635087.56,21169.59,564,1058.6
20113,"MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO",586326.63,4.592,37354.34,623680.97,20789.37,1326,442.18
20000,PRESIDENCIA DA REPUBLICA,540756.01,4.235,34450.27,575206.28,19173.54,953,567.42
55000,MINISTERIO DO DESENVOLVIMENTO SOCIAL,459382.01,3.597,29260.36,488642.37,16288.08,450,1020.85
40000,MINISTERIO DO TRABALHO,287163.85,2.249,18294.84,305458.69,10181.96,368,780.34
32000,MINISTERIO DE MINAS E ENERGIA,151591.75,1.187,9655.84,161247.59,5374.92,161,941.56
28000,"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",113226.98,0.887,7215.44,120442.42,4014.75,59,1919.1
54000,MINISTERIO DO TURISMO,99164.11,0.777,6320.63,105484.74,3516.16,35,2833.26
53000,MINISTERIO DA INTEGRACAO NACIONAL,91038.47,0.713,5800.01,96838.48,3227.95,129,705.72
24000,"MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES",77150.68,0.604,4913.33,82064.01,2735.47,167,461.98
37000,"MINIST. DA TRANSPARENCIA, FISCALIZACAO E CGU",62312.44,0.488,3969.71,66282.15,2209.41,53,1175.71
42000,MINISTERIO DA CULTURA,48941.22,0.383,3115.57,52056.79,1735.23,103,475.16
51000,MINISTERIO DO ESPORTE,33449.79,0.262,2131.28,35581.07,1186.04,58,576.72
56000,MINISTERIO DAS CIDADES,26769.63,0.21,1708.28,28477.91,949.26,46,581.95
35000,MINISTERIO DAS RELACOES EXTERIORES,4168.51,0.033,268.44,4436.95,147.9,4,1042.13
